obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4675;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;35;;;;;;;;3;;;;;;210
4676;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;35;;;;;;;;3;;;;;;210
4677;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;35;;;;;;;;3;;;;;;210
4678;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;39;;;;;;;;3;;;;;;210
4679;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;39;;;;;;;;3;;;;;;210
4680;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;39;;;;;;;;3;;;;;;210
4681;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;41;;;;;;;;3;;;;;;210
4682;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;41;;;;;;;;3;;;;;;210
4683;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;41;;;;;;;;3;;;;;;210
4684;34;Xue Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;37;;;;;;;;3;;;;;;180
